Date,Close/Last,Volume,Open,High,Low
2023-12-29,$104.00 ,4409641,$104.72 ,$104.97 ,$103.67 
2023-12-28,$104.70 ,5335145,$105.00 ,$105.52 ,$104.70 
2023-12-27,$104.65 ,5889724,$105.05 ,$105.37 ,$104.08 
2023-12-26,$104.45 ,6407484,$103.61 ,$104.96 ,$103.57 
2023-12-22,$103.15 ,5566576,$102.93 ,$103.59 ,$102.71 
2023-12-21,$102.55 ,9068244,$101.30 ,$102.72 ,$101.16 
2023-12-20,$100.04 ,10814080,$102.70 ,$103.09 ,$99.94 
2023-12-19,$103.87 ,8498473,$103.24 ,$103.98 ,$103.09 
2023-12-18,$102.93 ,5660567,$102.84 ,$103.31 ,$102.08 
2023-12-15,$102.54 ,16379240,$103.50 ,$104.76 ,$102.39 
2023-12-14,$103.45 ,10074500,$103.35 ,$103.81 ,$102.80 
2023-12-13,$102.12 ,8988814,$101.40 ,$102.68 ,$100.91 
2023-12-12,$101.60 ,7378574,$100.15 ,$101.65 ,$99.95 
2023-12-11,$100.95 ,9482773,$99.57 ,$101.21 ,$99.37 
2023-12-08,$100.35 ,10572460,$99.12 ,$100.37 ,$98.95 
2023-12-07,$99.29 ,11373670,$97.96 ,$99.64 ,$97.89 
2023-12-06,$97.85 ,11262270,$97.80 ,$98.57 ,$97.45 
2023-12-05,$96.69 ,8009587,$96.46 ,$97.02 ,$95.88 
2023-12-04,$97.01 ,10619350,$97.05 ,$97.20 ,$95.25 
2023-12-01,$98.55 ,7500388,$97.70 ,$98.78 ,$97.02 
2023-11-30,$97.31 ,9681363,$98.93 ,$98.98 ,$96.90 
2023-11-29,$98.88 ,7091122,$99.00 ,$99.73 ,$98.60 
2023-11-28,$97.98 ,6358143,$97.87 ,$98.25 ,$97.24 
2023-11-27,$97.21 ,6856096,$97.42 ,$97.55 ,$96.42 
2023-11-24,$97.83 ,4297621,$98.48 ,$98.73 ,$97.47 
2023-11-22,$98.65 ,7416466,$98.72 ,$99.65 ,$97.95 
2023-11-21,$98.41 ,10112620,$100.00 ,$100.15 ,$98.24 
2023-11-20,$99.96 ,6452894,$99.90 ,$100.59 ,$99.54 
2023-11-17,$99.58 ,7247710,$98.94 ,$99.72 ,$98.32 
2023-11-16,$98.54 ,8459045,$98.24 ,$99.10 ,$97.91 
2023-11-15,$98.80 ,10422890,$99.95 ,$100.70 ,$98.42 
2023-11-14,$98.91 ,13873240,$98.00 ,$99.69 ,$97.95 
2023-11-13,$96.42 ,9526286,$97.01 ,$97.18 ,$95.72 
2023-11-10,$97.44 ,19292870,$94.04 ,$97.75 ,$93.61 
2023-11-09,$91.62 ,8166021,$92.63 ,$93.37 ,$91.60 
2023-11-08,$92.00 ,6537666,$93.33 ,$93.44 ,$91.93 
2023-11-07,$92.41 ,6241257,$92.25 ,$93.05 ,$91.75 
2023-11-06,$92.60 ,8402708,$92.00 ,$92.61 ,$91.29 
2023-11-03,$91.79 ,9226706,$91.65 ,$92.45 ,$90.84 
2023-11-02,$90.48 ,11032580,$90.40 ,$91.05 ,$89.47 
2023-11-01,$87.80 ,9508804,$86.47 ,$87.87 ,$86.34 
2023-10-31,$86.31 ,9004922,$86.15 ,$86.43 ,$84.95 
2023-10-30,$86.06 ,9785511,$87.31 ,$88.30 ,$86.00 
2023-10-27,$85.99 ,12480730,$87.54 ,$87.78 ,$85.89 
2023-10-26,$87.45 ,9377296,$87.12 ,$88.14 ,$86.54 
2023-10-25,$87.64 ,13027070,$90.80 ,$90.85 ,$86.68 
2023-10-24,$91.64 ,7374762,$91.20 ,$92.00 ,$90.86 
2023-10-23,$91.11 ,8227866,$89.98 ,$92.26 ,$89.16 
2023-10-20,$91.31 ,12197290,$92.00 ,$94.32 ,$91.09 
2023-10-19,$92.91 ,22751600,$93.09 ,$94.76 ,$92.36 
2023-10-18,$89.60 ,9982673,$88.88 ,$90.01 ,$88.58 
2023-10-17,$91.00 ,7997066,$89.81 ,$91.70 ,$88.52 
2023-10-16,$91.22 ,8791813,$90.48 ,$91.90 ,$90.43 
2023-10-13,$90.46 ,7986463,$92.75 ,$92.94 ,$90.20 
2023-10-12,$92.42 ,8897784,$92.51 ,$93.44 ,$91.84 
2023-10-11,$92.00 ,8051727,$91.26 ,$92.01 ,$90.63 
2023-10-10,$90.61 ,7182943,$89.27 ,$90.66 ,$89.14 
2023-10-09,$88.99 ,4781316,$88.80 ,$89.34 ,$88.04 
2023-10-06,$89.29 ,9777118,$88.09 ,$90.02 ,$87.38 
2023-10-05,$87.03 ,6651679,$86.83 ,$87.94 ,$86.53 
2023-10-04,$86.67 ,7658502,$85.47 ,$86.76 ,$85.38 
2023-10-03,$85.41 ,8201668,$87.00 ,$87.32 ,$85.06 
2023-10-02,$87.65 ,6305021,$87.18 ,$88.42 ,$87.02 
2023-09-29,$86.90 ,7338288,$87.75 ,$88.03 ,$86.70 
2023-09-28,$86.41 ,6647723,$85.25 ,$87.13 ,$84.98 
2023-09-27,$85.44 ,7858373,$85.17 ,$85.56 ,$84.10 
2023-09-26,$84.29 ,8877634,$84.95 ,$85.23 ,$84.02 
2023-09-25,$86.24 ,8758022,$85.39 ,$86.24 ,$85.02 
2023-09-22,$85.64 ,7970526,$86.25 ,$86.77 ,$85.45 
2023-09-21,$85.36 ,10660420,$86.04 ,$86.14 ,$85.35 
2023-09-20,$87.29 ,6939697,$88.52 ,$89.32 ,$87.29 
2023-09-19,$88.17 ,7175404,$88.45 ,$88.84 ,$87.79 
2023-09-18,$88.83 ,6647388,$88.54 ,$89.67 ,$88.43 
2023-09-15,$89.25 ,19940490,$90.51 ,$91.14 ,$88.86 
2023-09-14,$91.47 ,6506310,$92.78 ,$92.93 ,$91.27 
2023-09-13,$91.22 ,5757807,$90.60 ,$91.89 ,$90.48 
2023-09-12,$90.48 ,8242642,$90.46 ,$91.57 ,$90.42 
2023-09-11,$89.60 ,7268572,$90.10 ,$90.39 ,$89.16 
2023-09-08,$89.64 ,5822265,$90.75 ,$91.07 ,$89.32 
2023-09-07,$90.05 ,14684450,$90.07 ,$90.29 ,$88.43 
2023-09-06,$92.26 ,7933713,$93.85 ,$93.96 ,$91.59 
2023-09-05,$94.60 ,6396488,$93.40 ,$95.05 ,$92.87 
2023-09-01,$93.19 ,7094628,$94.30 ,$94.58 ,$93.09 
2023-08-31,$93.57 ,8661169,$93.34 ,$94.40 ,$93.27 
2023-08-30,$94.78 ,6073414,$95.45 ,$95.92 ,$94.63 
2023-08-29,$95.08 ,8910319,$93.77 ,$95.62 ,$93.51 
2023-08-28,$94.00 ,5174779,$93.82 ,$94.15 ,$93.25 
2023-08-25,$93.10 ,10355950,$92.25 ,$93.41 ,$91.41 
2023-08-24,$92.53 ,12254420,$96.53 ,$96.78 ,$92.47 
2023-08-23,$94.22 ,10362580,$93.79 ,$95.10 ,$93.24 
2023-08-22,$92.24 ,7060063,$93.35 ,$93.49 ,$91.81 
2023-08-21,$92.56 ,8618303,$90.50 ,$92.91 ,$90.50 
2023-08-18,$91.10 ,9066167,$90.07 ,$91.33 ,$89.56 
2023-08-17,$91.64 ,7712486,$92.92 ,$92.92 ,$91.35 
2023-08-16,$91.78 ,7439502,$91.44 ,$92.72 ,$91.32 
2023-08-15,$91.68 ,6069500,$92.52 ,$92.71 ,$91.49 
2023-08-14,$93.07 ,7489675,$91.69 ,$93.29 ,$91.30 
2023-08-11,$91.99 ,10658400,$93.50 ,$93.50 ,$91.97 
2023-08-10,$94.80 ,7459584,$95.45 ,$95.97 ,$94.28 
2023-08-09,$93.98 ,6426862,$95.83 ,$95.85 ,$93.71 
2023-08-08,$94.49 ,7659012,$94.88 ,$94.90 ,$93.67 
2023-08-07,$96.35 ,6601403,$96.73 ,$96.94 ,$95.23 
2023-08-04,$96.16 ,7562649,$95.28 ,$97.58 ,$95.13 
2023-08-03,$94.98 ,8603707,$94.84 ,$95.81 ,$94.58 
2023-08-02,$95.70 ,9827891,$97.50 ,$97.50 ,$95.21 
2023-08-01,$98.40 ,6439692,$99.14 ,$99.19 ,$98.09 
2023-07-31,$99.15 ,8654145,$99.18 ,$99.78 ,$98.42 
2023-07-28,$100.86 ,6766298,$100.11 ,$100.99 ,$99.78 
2023-07-27,$99.35 ,8049784,$101.50 ,$101.76 ,$98.91 
2023-07-26,$99.41 ,8993547,$99.49 ,$100.13 ,$98.57 
2023-07-25,$100.32 ,9202222,$99.52 ,$100.89 ,$99.11 
2023-07-24,$98.25 ,9054912,$97.27 ,$98.27 ,$96.78 
2023-07-21,$97.25 ,15381230,$97.88 ,$97.99 ,$96.33 
2023-07-20,$97.86 ,22810240,$98.55 ,$100.45 ,$97.05 
2023-07-19,$103.06 ,11204830,$103.90 ,$104.79 ,$102.57 
2023-07-18,$103.15 ,10355350,$103.69 ,$103.73 ,$102.01 
2023-07-17,$104.79 ,10729130,$104.68 ,$105.03 ,$102.59 
2023-07-14,$105.14 ,9518336,$106.00 ,$107.30 ,$104.86 
2023-07-13,$105.57 ,9265863,$105.00 ,$105.65 ,$102.52 
2023-07-12,$103.90 ,10202030,$102.83 ,$104.43 ,$102.76 
2023-07-11,$101.26 ,7684553,$102.33 ,$102.33 ,$100.14 
2023-07-10,$99.77 ,8041648,$100.25 ,$100.75 ,$99.40 
2023-07-07,$100.23 ,8036622,$99.08 ,$101.94 ,$99.00 
2023-07-06,$99.41 ,9143570,$99.10 ,$99.56 ,$98.60 
2023-07-05,$100.99 ,9014765,$101.40 ,$103.09 ,$100.96 
2023-07-03,$103.15 ,5638381,$102.25 ,$103.68 ,$102.07 
2023-06-30,$100.92 ,11704650,$101.40 ,$101.89 ,$100.41 
2023-06-29,$100.64 ,7383942,$101.34 ,$101.52 ,$100.02 
2023-06-28,$100.92 ,8160885,$100.50 ,$101.88 ,$100.22 
2023-06-27,$102.08 ,9732034,$101.15 ,$102.79 ,$100.02 
2023-06-26,$100.11 ,8560047,$102.02 ,$103.04 ,$100.09 
2023-06-23,$101.91 ,8919044,$101.52 ,$102.19 ,$101.01 
2023-06-22,$103.13 ,8581952,$101.42 ,$103.43 ,$101.33 
2023-06-21,$101.64 ,9340383,$103.15 ,$103.73 ,$101.62 
2023-06-20,$103.98 ,9302357,$104.18 ,$104.88 ,$103.07 
2023-06-16,$104.57 ,11430780,$105.43 ,$105.75 ,$104.35 
2023-06-15,$105.18 ,11987940,$106.27 ,$106.66 ,$105.07 
2023-06-14,$107.41 ,12862630,$106.03 ,$107.70 ,$105.22 
2023-06-13,$106.80 ,17858600,$110.00 ,$110.69 ,$106.74 
2023-06-12,$107.06 ,20578760,$104.34 ,$107.39 ,$104.31 
2023-06-09,$102.80 ,14906100,$102.70 ,$104.68 ,$102.25 
2023-06-08,$99.94 ,9081050,$98.99 ,$100.70 ,$98.63 
2023-06-07,$100.29 ,14367510,$101.38 ,$103.02 ,$99.54 
2023-06-06,$99.82 ,13827600,$97.61 ,$100.60 ,$97.42 
2023-06-05,$98.05 ,10568510,$98.01 ,$98.81 ,$94.25 
2023-06-02,$98.94 ,13085120,$101.25 ,$101.30 ,$98.62 
2023-06-01,$98.84 ,14998510,$98.68 ,$100.59 ,$98.60 
2023-05-31,$98.59 ,22206680,$99.73 ,$99.98 ,$98.06 
2023-05-30,$101.98 ,25247960,$103.79 ,$105.24 ,$101.53 
2023-05-26,$103.21 ,26135850,$100.85 ,$104.44 ,$100.73 
2023-05-25,$100.95 ,60793170,$97.06 ,$102.37 ,$96.98 
2023-05-24,$90.13 ,9443880,$89.28 ,$90.15 ,$89.18 
2023-05-23,$90.44 ,7656686,$91.00 ,$91.34 ,$90.33 
2023-05-22,$91.72 ,9259822,$92.07 ,$92.44 ,$91.20 
2023-05-19,$92.58 ,9295245,$92.13 ,$92.79 ,$91.56 
2023-05-18,$92.65 ,14879040,$91.25 ,$93.40 ,$91.07 
2023-05-17,$90.88 ,23215570,$88.30 ,$91.80 ,$88.06 
2023-05-16,$85.88 ,11286530,$85.69 ,$86.75 ,$85.59 
2023-05-15,$85.66 ,8707286,$83.33 ,$85.67 ,$83.23 
2023-05-12,$83.43 ,5069826,$83.38 ,$83.93 ,$82.95 
2023-05-11,$83.43 ,8730884,$84.14 ,$84.14 ,$82.53 
2023-05-10,$84.90 ,7442294,$84.51 ,$85.15 ,$84.17 
2023-05-09,$85.06 ,7287804,$85.25 ,$85.48 ,$84.30 
2023-05-08,$85.54 ,6746640,$84.50 ,$85.54 ,$84.41 
2023-05-05,$84.97 ,6865003,$84.30 ,$85.57 ,$83.75 
2023-05-04,$83.49 ,7290557,$83.00 ,$83.76 ,$82.64 
2023-05-03,$82.70 ,7151630,$82.62 ,$83.76 ,$82.44 
2023-05-02,$82.96 ,6874978,$83.50 ,$84.05 ,$82.55 
2023-05-01,$83.98 ,4931139,$84.30 ,$84.69 ,$83.90 
2023-04-28,$84.30 ,8262599,$84.48 ,$84.51 ,$83.72 
2023-04-27,$83.67 ,10013660,$82.90 ,$83.86 ,$82.16 
2023-04-26,$82.25 ,11583450,$82.24 ,$82.38 ,$81.21 
2023-04-25,$82.29 ,13423690,$83.27 ,$83.40 ,$82.26 
2023-04-24,$84.64 ,10567550,$85.40 ,$85.96 ,$83.99 
2023-04-21,$85.37 ,13175400,$87.78 ,$87.91 ,$85.28 
2023-04-20,$89.29 ,19206260,$88.32 ,$91.88 ,$88.10 
2023-04-19,$87.23 ,11191260,$86.23 ,$87.38 ,$86.04 
2023-04-18,$88.14 ,8468232,$88.20 ,$88.40 ,$87.50 
2023-04-17,$87.99 ,8163582,$87.75 ,$88.05 ,$87.16 
2023-04-14,$87.20 ,7656385,$87.95 ,$88.37 ,$86.54 
2023-04-13,$87.05 ,7910506,$86.56 ,$87.63 ,$85.97 
2023-04-12,$86.87 ,11299110,$88.91 ,$89.50 ,$86.86 
2023-04-11,$89.24 ,11079170,$88.64 ,$89.84 ,$88.47 
2023-04-10,$89.02 ,12232880,$88.42 ,$89.03 ,$86.47 
2023-04-06,$90.24 ,5874515,$89.66 ,$90.91 ,$89.40 
2023-04-05,$90.20 ,9171762,$91.60 ,$92.18 ,$89.05 
2023-04-04,$92.17 ,6338442,$93.04 ,$93.28 ,$91.72 
2023-04-03,$92.84 ,6863562,$93.01 ,$93.60 ,$91.71 
2023-03-31,$93.02 ,8701770,$91.24 ,$93.26 ,$91.13 
2023-03-30,$92.47 ,10232790,$93.35 ,$93.52 ,$92.03 
2023-03-29,$92.76 ,9264041,$91.76 ,$93.22 ,$91.45 
2023-03-28,$90.81 ,7521266,$90.66 ,$90.87 ,$89.92 
2023-03-27,$90.66 ,9349773,$92.04 ,$92.18 ,$90.55 
2023-03-24,$92.79 ,7655139,$93.95 ,$94.18 ,$92.09 
2023-03-23,$94.59 ,11169700,$94.49 ,$95.82 ,$93.43 
2023-03-22,$92.62 ,12812370,$93.50 ,$95.03 ,$92.54 
2023-03-21,$92.50 ,12299680,$91.00 ,$93.00 ,$90.80 
2023-03-20,$90.04 ,8217489,$89.21 ,$90.37 ,$88.66 
2023-03-17,$89.47 ,13287740,$89.06 ,$90.03 ,$89.00 
2023-03-16,$89.30 ,13188260,$85.95 ,$89.47 ,$85.82 
2023-03-15,$86.70 ,12171470,$87.20 ,$87.24 ,$85.44 
2023-03-14,$89.29 ,11100110,$88.03 ,$89.63 ,$87.71 
2023-03-13,$87.74 ,11847590,$86.38 ,$89.00 ,$86.31 
2023-03-10,$87.25 ,11928800,$88.03 ,$89.17 ,$87.20 
2023-03-09,$88.88 ,10354670,$89.71 ,$90.69 ,$88.57 
2023-03-08,$90.83 ,8813034,$88.35 ,$90.84 ,$88.14 
2023-03-07,$88.85 ,8761066,$89.95 ,$90.24 ,$88.30 
2023-03-06,$89.58 ,9959998,$90.08 ,$91.33 ,$89.51 
2023-03-03,$89.79 ,10844050,$88.67 ,$89.85 ,$87.88 
2023-03-02,$89.03 ,9776757,$87.64 ,$89.34 ,$87.12 
2023-03-01,$88.42 ,8176749,$89.04 ,$90.04 ,$88.27 
2023-02-28,$87.07 ,7520449,$87.14 ,$88.15 ,$86.90 
2023-02-27,$87.30 ,10609440,$88.70 ,$88.85 ,$87.24 
