Date,Close/Last,Volume,Open,High,Low
12/31/2021,$352.26 ,40733644,$357.81 ,$360.67 ,$351.53 
12/30/2021,$356.78 ,47040935,$353.78 ,$365.18 ,$351.05 
12/29/2021,$362.06 ,56154066,$366.21 ,$368.00 ,$354.71 
12/28/2021,$362.82 ,60323916,$369.83 ,$373.00 ,$359.47 
12/27/2021,$364.65 ,71145817,$357.89 ,$372.33 ,$356.91 
12/23/2021,$355.67 ,92713299,$335.60 ,$357.66 ,$332.52 
12/22/2021,$336.29 ,93634089,$321.89 ,$338.55 ,$319.02 
12/21/2021,$312.84 ,71517937,$305.62 ,$313.17 ,$295.37 
12/20/2021,$299.98 ,56480016,$303.57 ,$307.23 ,$297.80 
12/17/2021,$310.86 ,100880260,$304.92 ,$320.22 ,$303.01 
12/16/2021,$308.97 ,82771448,$331.50 ,$331.66 ,$307.28 
12/15/2021,$325.33 ,75169238,$317.74 ,$326.25 ,$309.42 
12/14/2021,$319.50 ,70806277,$315.00 ,$322.14 ,$310.00 
12/13/2021,$322.14 ,78595508,$333.70 ,$335.00 ,$317.14 
12/10/2021,$339.01 ,59664366,$336.25 ,$340.33 ,$327.51 
12/9/2021,$334.60 ,59438496,$353.55 ,$354.16 ,$334.12 
12/8/2021,$356.32 ,41906374,$350.90 ,$357.46 ,$344.33 
12/7/2021,$350.58 ,56084586,$348.07 ,$352.56 ,$342.27 
12/6/2021,$336.34 ,81663128,$333.84 ,$340.55 ,$316.83 
12/3/2021,$338.32 ,92322009,$361.60 ,$363.53 ,$333.40 
12/2/2021,$361.53 ,73114867,$366.35 ,$371.00 ,$352.22 
12/1/2021,$365.00 ,68804107,$386.90 ,$390.95 ,$363.59 
11/30/2021,$381.59 ,81276128,$381.46 ,$389.33 ,$372.67 
11/29/2021,$379.00 ,58393416,$367.00 ,$380.89 ,$366.73 
11/26/2021,$360.64 ,35042674,$366.49 ,$369.59 ,$360.33 
11/24/2021,$372.00 ,67680727,$360.13 ,$377.59 ,$354.00 
11/23/2021,$369.68 ,108515111,$389.17 ,$393.50 ,$354.23 
11/22/2021,$385.62 ,99217540,$387.44 ,$400.65 ,$377.48 
11/19/2021,$379.02 ,64926786,$366.29 ,$379.57 ,$364.23 
11/18/2021,$365.46 ,62696796,$368.85 ,$370.67 ,$358.34 
11/17/2021,$363.00 ,94336119,$354.50 ,$373.21 ,$351.83 
11/16/2021,$351.58 ,79627088,$334.44 ,$352.40 ,$334.06 
11/15/2021,$337.80 ,104326960,$339.21 ,$343.99 ,$326.20 
11/12/2021,$344.47 ,76719458,$349.17 ,$351.50 ,$339.73 
11/11/2021,$354.50 ,67189717,$367.59 ,$368.32 ,$351.56 
11/10/2021,$355.98 ,128408173,$336.80 ,$359.37 ,$329.10 
11/9/2021,$341.17 ,177317538,$391.20 ,$391.50 ,$337.17 
11/8/2021,$387.65 ,100337170,$383.26 ,$399.00 ,$377.67 
11/5/2021,$407.36 ,64886436,$409.33 ,$413.29 ,$402.67 
11/4/2021,$409.97 ,76192238,$411.47 ,$414.50 ,$405.67 
11/3/2021,$404.62 ,103885570,$392.44 ,$405.13 ,$384.21 
11/2/2021,$390.67 ,128213413,$386.45 ,$402.86 ,$382.00 
11/1/2021,$402.86 ,168146177,$381.67 ,$403.25 ,$372.89 
10/29/2021,$371.33 ,89755269,$360.62 ,$371.74 ,$357.74 
10/28/2021,$359.01 ,81639518,$356.10 ,$360.33 ,$351.40 
10/27/2021,$345.95 ,115579392,$346.55 ,$356.96 ,$343.59 
10/26/2021,$339.48 ,187244929,$341.56 ,$364.98 ,$333.81 
10/25/2021,$341.62 ,188556319,$316.84 ,$348.34 ,$314.73 
10/22/2021,$303.23 ,68642527,$298.50 ,$303.33 ,$296.99 
10/21/2021,$298.00 ,94444359,$285.33 ,$300.00 ,$285.17 
10/20/2021,$288.60 ,42096154,$288.45 ,$289.83 ,$285.79 
10/19/2021,$288.09 ,52143395,$292.51 ,$292.65 ,$287.50 
10/18/2021,$290.04 ,72621727,$283.93 ,$291.75 ,$283.82 
10/15/2021,$281.01 ,56773716,$274.58 ,$281.07 ,$274.12 
10/14/2021,$272.77 ,36741514,$271.83 ,$273.42 ,$271.12 
10/13/2021,$270.36 ,42360244,$270.16 ,$271.80 ,$268.59 
10/12/2021,$268.57 ,66060127,$266.98 ,$270.77 ,$265.52 
10/11/2021,$263.98 ,42600964,$262.55 ,$267.08 ,$261.83 
10/8/2021,$261.83 ,50215805,$265.40 ,$265.46 ,$260.30 
10/7/2021,$264.54 ,57587346,$261.82 ,$268.33 ,$261.13 
10/6/2021,$260.92 ,43898314,$258.73 ,$262.22 ,$257.74 
10/5/2021,$260.20 ,55297896,$261.60 ,$265.77 ,$258.07 
10/4/2021,$260.51 ,91450029,$265.50 ,$268.99 ,$258.71 
10/1/2021,$258.41 ,51094235,$259.47 ,$260.26 ,$254.53 
9/30/2021,$258.49 ,53867885,$260.33 ,$263.04 ,$258.33 
9/29/2021,$260.44 ,62828646,$259.93 ,$264.50 ,$256.89 
9/28/2021,$259.19 ,76144268,$262.40 ,$265.21 ,$255.39 
9/27/2021,$263.79 ,84211988,$257.71 ,$266.33 ,$256.44 
9/24/2021,$258.13 ,64119066,$248.63 ,$258.27 ,$248.19 
9/23/2021,$251.21 ,35842594,$251.67 ,$252.73 ,$249.31 
9/22/2021,$250.65 ,45378815,$247.84 ,$251.22 ,$246.37 
9/21/2021,$246.46 ,48992165,$244.93 ,$248.25 ,$243.48 
9/20/2021,$243.39 ,74272957,$244.85 ,$247.33 ,$239.54 
9/17/2021,$253.16 ,84612548,$252.38 ,$253.68 ,$250.00 
9/16/2021,$252.33 ,41770174,$250.94 ,$252.97 ,$249.20 
9/15/2021,$251.94 ,46073075,$248.33 ,$252.29 ,$246.12 
9/14/2021,$248.16 ,55574646,$247.52 ,$251.49 ,$245.47 
9/13/2021,$247.67 ,68857447,$246.74 ,$248.26 ,$236.28 
9/10/2021,$245.42 ,45552515,$253.20 ,$254.20 ,$244.84 
9/9/2021,$251.62 ,42233194,$251.14 ,$254.03 ,$250.54 
9/8/2021,$251.29 ,56379126,$253.86 ,$254.82 ,$246.92 
9/7/2021,$250.97 ,60119496,$246.67 ,$253.40 ,$246.42 
9/3/2021,$244.52 ,45813155,$244.08 ,$244.67 ,$241.40 
9/2/2021,$244.13 ,38390224,$244.83 ,$246.99 ,$243.51 
9/1/2021,$244.70 ,39613024,$244.69 ,$247.33 ,$243.76 
8/31/2021,$245.24 ,62566326,$244.33 ,$246.80 ,$242.15 
8/30/2021,$243.64 ,55812666,$238.24 ,$243.67 ,$237.58 
8/27/2021,$237.31 ,41501284,$235.00 ,$238.33 ,$234.03 
8/26/2021,$233.72 ,39642874,$236.10 ,$238.47 ,$232.54 
