Date,Close/Last,Volume,Open,High,Low
2025-10-14,$429.24 ,72669440,$426.79 ,$434.20 ,$417.86 
2025-10-13,$435.90 ,79552790,$423.53 ,$436.89 ,$419.70 
2025-10-10,$413.49 ,112107900,$436.54 ,$443.13 ,$411.45 
2025-10-09,$435.54 ,69339930,$431.81 ,$436.35 ,$426.18 
2025-10-08,$438.69 ,71192130,$437.57 ,$441.33 ,$425.23 
2025-10-07,$433.09 ,102296100,$447.82 ,$452.68 ,$432.45 
2025-10-06,$453.25 ,85324880,$440.75 ,$453.55 ,$436.69 
2025-10-03,$429.83 ,133188200,$443.29 ,$446.77 ,$416.58 
2025-10-02,$436.00 ,137009000,$470.54 ,$470.75 ,$435.57 
2025-10-01,$459.46 ,98122290,$443.80 ,$462.29 ,$440.75 
2025-09-30,$444.72 ,74357960,$441.52 ,$445.00 ,$433.12 
2025-09-29,$443.21 ,79491510,$444.35 ,$450.98 ,$439.50 
2025-09-26,$440.40 ,101628200,$428.30 ,$440.47 ,$421.02 
2025-09-25,$423.39 ,96746430,$435.24 ,$435.35 ,$419.08 
2025-09-24,$442.79 ,93133570,$429.83 ,$444.21 ,$429.03 
2025-09-23,$425.85 ,83422690,$439.88 ,$440.97 ,$423.72 
2025-09-22,$434.21 ,97108780,$431.11 ,$444.98 ,$429.13 
2025-09-19,$426.07 ,93131030,$421.82 ,$429.47 ,$421.72 
2025-09-18,$416.85 ,90454510,$428.87 ,$432.22 ,$416.56 
2025-09-17,$425.86 ,106133500,$415.75 ,$428.31 ,$409.67 
2025-09-16,$421.62 ,104285700,$414.50 ,$423.25 ,$411.43 
2025-09-15,$410.04 ,163823700,$423.13 ,$425.70 ,$402.43 
2025-09-12,$395.94 ,168156400,$370.94 ,$396.69 ,$370.24 
2025-09-11,$368.81 ,103756000,$350.17 ,$368.99 ,$347.60 
2025-09-10,$347.79 ,72121680,$350.55 ,$356.33 ,$346.07 
2025-09-09,$346.97 ,53815990,$348.44 ,$350.77 ,$343.82 
2025-09-08,$346.40 ,75208290,$354.64 ,$358.44 ,$344.84 
2025-09-05,$350.84 ,108989800,$348.00 ,$355.87 ,$344.68 
2025-09-04,$338.53 ,60711030,$336.15 ,$338.89 ,$331.48 
2025-09-03,$334.09 ,88733290,$335.20 ,$343.33 ,$328.51 
2025-09-02,$329.36 ,58391950,$328.23 ,$333.33 ,$325.60 
2025-08-29,$333.87 ,81145660,$347.23 ,$348.75 ,$331.70 
2025-08-28,$345.98 ,67903220,$350.91 ,$353.55 ,$340.26 
2025-08-27,$349.60 ,65519010,$351.94 ,$355.39 ,$349.16 
2025-08-26,$351.67 ,76651550,$344.93 ,$351.90 ,$343.72 
2025-08-25,$346.60 ,86670040,$338.90 ,$349.53 ,$335.03 
2025-08-22,$340.01 ,94016350,$321.66 ,$340.25 ,$319.69 
2025-08-21,$320.11 ,55744450,$322.08 ,$324.90 ,$318.68 
2025-08-20,$323.90 ,77481770,$329.22 ,$331.37 ,$314.60 
2025-08-19,$329.31 ,75956000,$335.79 ,$340.55 ,$327.85 
2025-08-18,$335.16 ,56956550,$329.62 ,$336.27 ,$329.59 
2025-08-15,$330.56 ,74319790,$337.66 ,$339.30 ,$327.02 
2025-08-14,$335.58 ,75000660,$335.76 ,$340.47 ,$330.40 
2025-08-13,$339.38 ,67838890,$341.50 ,$348.98 ,$338.20 
2025-08-12,$340.84 ,80690110,$345.00 ,$345.26 ,$332.94 
2025-08-11,$339.03 ,105320200,$335.00 ,$346.64 ,$334.15 
2025-08-08,$329.65 ,91200320,$321.43 ,$335.15 ,$320.98 
2025-08-07,$322.27 ,66658670,$319.79 ,$322.40 ,$316.16 
2025-08-06,$319.91 ,78523580,$307.89 ,$320.47 ,$306.93 
2025-08-05,$308.72 ,57961280,$308.95 ,$312.45 ,$305.50 
2025-08-04,$309.26 ,78683910,$309.08 ,$312.12 ,$303.00 
2025-08-01,$302.63 ,89121450,$306.21 ,$309.31 ,$297.82 
2025-07-31,$308.27 ,85270920,$319.61 ,$321.37 ,$306.10 
2025-07-30,$319.04 ,83931940,$322.18 ,$324.45 ,$311.62 
2025-07-29,$321.20 ,87358860,$325.55 ,$326.25 ,$318.25 
2025-07-28,$325.59 ,112673800,$318.45 ,$330.49 ,$315.69 
2025-07-25,$316.06 ,148227000,$308.74 ,$323.63 ,$308.01 
2025-07-24,$305.30 ,156966000,$310.00 ,$310.15 ,$300.41 
2025-07-23,$332.56 ,92553760,$330.90 ,$336.20 ,$328.67 
2025-07-22,$332.11 ,77370370,$329.74 ,$335.41 ,$321.55 
2025-07-21,$328.49 ,75768800,$334.40 ,$338.00 ,$326.88 
2025-07-18,$329.65 ,94254990,$321.66 ,$330.90 ,$321.42 
2025-07-17,$319.41 ,73922870,$323.15 ,$324.34 ,$317.06 
2025-07-16,$321.67 ,97284790,$312.80 ,$323.50 ,$312.62 
2025-07-15,$310.78 ,77556350,$319.68 ,$321.20 ,$310.50 
2025-07-14,$316.90 ,78043430,$317.73 ,$322.60 ,$312.67 
2025-07-11,$313.51 ,79236440,$307.89 ,$314.09 ,$305.65 
2025-07-10,$309.87 ,104365300,$300.05 ,$310.48 ,$300.00 
