Date,Close/Last,Volume,Open,High,Low
2023-12-29,$139.69 ,18733020,$139.63 ,$140.36 ,$138.78 
2023-12-28,$140.23 ,16045710,$140.78 ,$141.14 ,$139.75 
2023-12-27,$140.37 ,19628620,$141.59 ,$142.08 ,$139.89 
2023-12-26,$141.52 ,16780330,$141.59 ,$142.68 ,$141.19 
2023-12-22,$141.49 ,26532200,$140.77 ,$141.99 ,$140.71 
2023-12-21,$140.42 ,27488280,$139.49 ,$140.69 ,$139.18 
2023-12-20,$138.34 ,49107180,$138.97 ,$141.70 ,$138.07 
2023-12-19,$136.65 ,25476750,$136.84 ,$137.47 ,$136.08 
2023-12-18,$135.80 ,32257970,$132.63 ,$137.15 ,$132.43 
2023-12-15,$132.60 ,50847110,$131.62 ,$133.51 ,$131.18 
2023-12-14,$131.94 ,38722410,$133.38 ,$133.72 ,$129.69 
2023-12-13,$132.57 ,30104780,$133.38 ,$133.50 ,$131.57 
2023-12-12,$132.52 ,29032830,$131.81 ,$133.00 ,$131.26 
2023-12-11,$133.29 ,31138010,$132.38 ,$133.34 ,$131.36 
2023-12-08,$134.99 ,32260110,$134.20 ,$136.40 ,$134.03 
2023-12-07,$136.93 ,56767100,$135.04 ,$138.56 ,$134.70 
2023-12-06,$130.02 ,23576180,$131.44 ,$131.84 ,$129.88 
2023-12-05,$130.99 ,27384780,$128.95 ,$132.14 ,$128.25 
2023-12-04,$129.27 ,36669880,$129.88 ,$130.03 ,$127.90 
2023-12-01,$131.86 ,31442260,$131.86 ,$132.11 ,$130.67 
2023-11-30,$132.53 ,38988260,$135.05 ,$135.55 ,$131.28 
2023-11-29,$134.99 ,23967220,$137.57 ,$138.29 ,$134.84 
2023-11-28,$137.20 ,18730030,$136.08 ,$137.25 ,$135.42 
2023-11-27,$136.41 ,23436530,$136.03 ,$138.42 ,$136.00 
2023-11-24,$136.69 ,12514320,$138.03 ,$138.13 ,$135.99 
2023-11-22,$138.49 ,17820460,$137.47 ,$139.42 ,$137.47 
2023-11-21,$136.97 ,22635270,$136.29 ,$137.18 ,$135.96 
2023-11-20,$136.25 ,27850760,$133.69 ,$136.66 ,$133.62 
2023-11-17,$135.31 ,37287690,$136.00 ,$136.06 ,$133.65 
2023-11-16,$136.93 ,28013180,$135.19 ,$137.22 ,$134.32 
2023-11-15,$134.62 ,23861520,$134.87 ,$135.03 ,$133.57 
2023-11-14,$133.62 ,32395180,$134.19 ,$135.70 ,$133.32 
2023-11-13,$132.09 ,18324750,$131.78 ,$132.59 ,$131.25 
2023-11-10,$132.59 ,26927830,$130.11 ,$132.80 ,$129.41 
2023-11-09,$130.24 ,23747770,$131.96 ,$132.55 ,$130.07 
2023-11-08,$131.84 ,26425850,$130.97 ,$132.21 ,$130.78 
2023-11-07,$130.97 ,29757280,$130.71 ,$131.91 ,$129.88 
2023-11-06,$130.25 ,19052740,$129.05 ,$130.34 ,$128.67 
2023-11-03,$129.10 ,26393110,$128.02 ,$129.53 ,$127.86 
2023-11-02,$127.49 ,27124650,$128.42 ,$128.98 ,$126.93 
2023-11-01,$126.45 ,30082440,$124.07 ,$126.49 ,$123.72 
2023-10-31,$124.08 ,26292340,$125.06 ,$125.37 ,$122.69 
2023-10-30,$124.46 ,28940080,$123.21 ,$125.40 ,$122.75 
2023-10-27,$122.17 ,44566510,$122.88 ,$123.31 ,$120.21 
2023-10-26,$122.28 ,57061140,$123.27 ,$124.33 ,$121.27 
2023-10-25,$125.61 ,84366210,$128.16 ,$128.31 ,$125.07 
2023-10-24,$138.81 ,44814320,$137.83 ,$139.36 ,$137.42 
2023-10-23,$136.50 ,26317930,$135.04 ,$137.66 ,$133.95 
2023-10-20,$135.60 ,26335670,$137.33 ,$137.87 ,$135.08 
2023-10-19,$137.75 ,26066010,$138.50 ,$139.66 ,$137.38 
2023-10-18,$137.96 ,23375000,$139.45 ,$140.72 ,$137.38 
2023-10-17,$139.72 ,23515780,$138.63 ,$139.90 ,$137.18 
2023-10-16,$139.10 ,28501870,$138.17 ,$139.63 ,$137.99 
2023-10-13,$137.36 ,23435600,$139.38 ,$140.00 ,$136.62 
2023-10-12,$138.97 ,24765540,$141.05 ,$141.22 ,$138.26 
2023-10-11,$140.55 ,25884300,$138.58 ,$141.11 ,$138.58 
2023-10-10,$138.06 ,27786610,$138.50 ,$139.72 ,$137.33 
2023-10-09,$138.42 ,19278070,$136.94 ,$138.94 ,$135.61 
2023-10-06,$137.58 ,27597600,$134.01 ,$138.16 ,$134.01 
2023-10-05,$135.07 ,19832620,$135.07 ,$135.49 ,$133.45 
2023-10-04,$135.24 ,26752300,$132.79 ,$135.57 ,$132.53 
2023-10-03,$132.43 ,22989400,$133.94 ,$134.26 ,$131.84 
2023-10-02,$134.17 ,22288040,$131.21 ,$134.42 ,$131.17 
2023-09-29,$130.86 ,30859790,$133.28 ,$134.05 ,$130.36 
2023-09-28,$132.31 ,22513130,$129.84 ,$133.30 ,$129.79 
2023-09-27,$130.54 ,22746450,$128.57 ,$130.90 ,$128.57 
2023-09-26,$128.57 ,25718700,$129.77 ,$130.36 ,$127.22 
2023-09-25,$131.11 ,20094640,$129.83 ,$131.17 ,$128.96 
2023-09-22,$130.25 ,26397340,$130.76 ,$132.03 ,$129.60 
2023-09-21,$130.44 ,31503910,$131.44 ,$132.23 ,$130.07 
2023-09-20,$133.74 ,29927480,$138.08 ,$138.08 ,$133.62 
2023-09-19,$138.04 ,20353650,$137.42 ,$138.41 ,$136.62 
2023-09-18,$138.21 ,21861350,$136.61 ,$139.16 ,$136.61 
2023-09-15,$137.40 ,38919610,$137.98 ,$138.52 ,$136.48 
2023-09-14,$138.10 ,24750970,$137.60 ,$138.70 ,$136.24 
2023-09-13,$136.71 ,20749500,$135.09 ,$136.90 ,$134.15 
2023-09-12,$135.34 ,18405510,$136.26 ,$136.87 ,$135.19 
2023-09-11,$136.92 ,20763350,$136.54 ,$137.48 ,$135.79 
2023-09-08,$136.38 ,23584190,$134.91 ,$136.66 ,$134.85 
2023-09-07,$135.26 ,18844340,$133.59 ,$135.58 ,$132.95 
2023-09-06,$134.46 ,18684530,$136.02 ,$136.53 ,$133.67 
2023-09-05,$135.77 ,19403110,$135.44 ,$136.42 ,$134.58 
2023-09-01,$135.66 ,21543690,$137.46 ,$137.46 ,$134.85 
2023-08-31,$136.17 ,30053800,$136.01 ,$138.00 ,$135.79 
2023-08-30,$135.88 ,28315770,$134.78 ,$136.28 ,$134.07 
2023-08-29,$134.57 ,43075560,$132.24 ,$136.57 ,$132.24 
2023-08-28,$131.01 ,20543270,$131.31 ,$132.54 ,$130.14 
2023-08-25,$129.88 ,26762890,$129.54 ,$130.76 ,$127.25 
2023-08-24,$129.78 ,28500690,$133.95 ,$134.25 ,$129.57 
2023-08-23,$132.37 ,27819710,$130.18 ,$133.41 ,$129.87 
2023-08-22,$129.08 ,22067520,$128.51 ,$130.28 ,$128.32 
2023-08-21,$128.37 ,25248730,$127.18 ,$128.73 ,$126.56 
2023-08-18,$127.46 ,30504770,$128.51 ,$129.25 ,$126.38 
2023-08-17,$129.92 ,33446280,$129.80 ,$131.99 ,$129.29 
2023-08-16,$128.70 ,25216070,$128.70 ,$130.28 ,$127.87 
2023-08-15,$129.78 ,19770730,$131.10 ,$131.42 ,$129.28 
2023-08-14,$131.33 ,24695610,$129.39 ,$131.37 ,$128.96 
2023-08-11,$129.56 ,19591080,$128.66 ,$129.93 ,$128.17 
2023-08-10,$129.69 ,20857750,$131.32 ,$132.05 ,$129.45 
2023-08-09,$129.66 ,24912920,$131.66 ,$132.04 ,$129.00 
2023-08-08,$131.40 ,23535180,$130.62 ,$131.51 ,$129.55 
2023-08-07,$131.53 ,22746290,$129.16 ,$131.61 ,$129.02 
2023-08-04,$128.11 ,26147160,$129.28 ,$131.51 ,$127.91 
