Date,Close/Last,Volume,Open,High,Low
2023-12-29,$376.04 ,18730840,$376.00 ,$377.16 ,$373.48 
2023-12-28,$375.28 ,14327010,$375.37 ,$376.46 ,$374.16 
2023-12-27,$374.07 ,14905410,$373.69 ,$375.06 ,$372.81 
2023-12-26,$374.66 ,12673050,$375.00 ,$376.94 ,$373.50 
2023-12-22,$374.58 ,17107480,$373.68 ,$375.18 ,$372.71 
2023-12-21,$373.54 ,17708010,$372.56 ,$374.41 ,$370.04 
2023-12-20,$370.62 ,26316650,$375.00 ,$376.03 ,$370.53 
2023-12-19,$373.26 ,20603660,$371.49 ,$373.26 ,$369.84 
2023-12-18,$372.65 ,21802880,$369.45 ,$373.00 ,$368.68 
2023-12-15,$370.73 ,78502320,$366.85 ,$372.40 ,$366.28 
2023-12-14,$365.93 ,43277460,$373.31 ,$373.76 ,$364.13 
2023-12-13,$374.37 ,30955530,$376.02 ,$377.64 ,$370.77 
2023-12-12,$374.38 ,24838250,$370.85 ,$374.42 ,$370.46 
2023-12-11,$371.30 ,27708760,$368.48 ,$371.60 ,$366.10 
2023-12-08,$374.23 ,20154370,$369.20 ,$374.46 ,$368.23 
2023-12-07,$370.95 ,23118860,$368.23 ,$371.45 ,$366.32 
2023-12-06,$368.80 ,21182070,$373.54 ,$374.18 ,$368.03 
2023-12-05,$372.52 ,23065040,$366.45 ,$373.08 ,$365.62 
2023-12-04,$369.14 ,32063310,$369.10 ,$369.52 ,$362.90 
2023-12-01,$374.51 ,33040470,$376.76 ,$378.16 ,$371.31 
2023-11-30,$378.91 ,30554420,$378.49 ,$380.09 ,$375.47 
2023-11-29,$378.85 ,28963400,$383.76 ,$384.30 ,$377.44 
2023-11-28,$382.70 ,20453110,$378.35 ,$383.00 ,$378.16 
2023-11-27,$378.61 ,22179230,$376.78 ,$380.64 ,$376.20 
2023-11-24,$377.43 ,10176650,$377.33 ,$377.97 ,$375.14 
2023-11-22,$377.85 ,23361180,$378.00 ,$379.79 ,$374.97 
2023-11-21,$373.07 ,28423150,$375.67 ,$376.22 ,$371.12 
2023-11-20,$377.44 ,52528960,$371.22 ,$378.87 ,$371.00 
2023-11-17,$369.85 ,40325370,$373.61 ,$374.37 ,$367.00 
2023-11-16,$376.17 ,27182320,$370.96 ,$376.35 ,$370.18 
2023-11-15,$369.67 ,26860100,$371.28 ,$373.13 ,$367.11 
2023-11-14,$370.27 ,27683860,$371.01 ,$371.95 ,$367.35 
2023-11-13,$366.68 ,19986510,$368.22 ,$368.47 ,$365.90 
2023-11-10,$369.67 ,28065160,$361.49 ,$370.10 ,$361.07 
2023-11-09,$360.69 ,24847330,$362.30 ,$364.79 ,$360.36 
2023-11-08,$363.20 ,26767830,$361.68 ,$363.87 ,$360.55 
2023-11-07,$360.53 ,25833930,$359.40 ,$362.46 ,$357.63 
2023-11-06,$356.53 ,23828300,$353.45 ,$357.54 ,$353.35 
2023-11-03,$352.80 ,23637670,$349.63 ,$354.39 ,$347.33 
2023-11-02,$348.32 ,24348070,$347.24 ,$348.83 ,$344.77 
2023-11-01,$346.07 ,28158820,$339.79 ,$347.42 ,$339.65 
2023-10-31,$338.11 ,20265280,$338.85 ,$339.00 ,$334.69 
2023-10-30,$337.31 ,22828080,$333.41 ,$339.45 ,$331.83 
2023-10-27,$329.81 ,29856520,$330.43 ,$336.72 ,$328.40 
2023-10-26,$327.89 ,37828540,$340.54 ,$341.63 ,$326.94 
2023-10-25,$340.67 ,55053830,$345.02 ,$346.20 ,$337.62 
2023-10-24,$330.53 ,31153570,$331.30 ,$331.84 ,$327.60 
2023-10-23,$329.32 ,24374750,$325.47 ,$332.73 ,$324.39 
2023-10-20,$326.67 ,25027720,$331.72 ,$331.92 ,$325.45 
2023-10-19,$331.32 ,25052070,$332.15 ,$336.88 ,$330.91 
2023-10-18,$330.11 ,23153600,$332.49 ,$335.59 ,$328.30 
2023-10-17,$332.06 ,18338520,$329.59 ,$333.46 ,$327.41 
2023-10-16,$332.64 ,22158050,$331.05 ,$336.14 ,$330.60 
2023-10-13,$327.73 ,21085700,$332.38 ,$333.83 ,$326.36 
2023-10-12,$331.16 ,19313100,$330.57 ,$333.63 ,$328.72 
2023-10-11,$332.42 ,20063250,$331.21 ,$332.82 ,$329.14 
2023-10-10,$328.39 ,20557090,$330.96 ,$331.10 ,$327.67 
